ensgene,Hipposideros armiger,Rhinolophus affinis,Myotis laniger,Miniopterus fuliginosus,Taphozous melanopogon,Cynopterus sphinx,Rousettus leschenaultia,Eonycteris spelaea
ENSMLUG00000009155,14.95,14.73,7.57,8.45,5.28,23.21,30.63,11.94
ENSMLUG00000008193,159.72,238.29,221.37,236.11,186.87,163.1,171.44,113.96
ENSMLUG00000001449,17.55,0,0,10.1,0,0,0,0
ENSMLUG00000007876,14.48,7.13,15.31,14.17,12.43,15.99,11.64,18.68
ENSMLUG00000006240,13.14,16.09,5.74,7.42,6.97,10.1,13.76,6.32
ENSMLUG00000024173,6.54,0,0,2.02,0,14.34,0,7.88
ENSMLUG00000015079,29.01,9.51,13.25,12.98,34.79,0,14.67,18.16
ENSMLUG00000007011,60.54,20.15,26.23,15.47,79.86,57.28,33.42,22.8
ENSMLUG00000008110,15.41,14.51,4.78,8.37,14.82,11.8,11.08,8.76
ENSMLUG00000015740,0,19.05,24.35,11.02,32.07,17.8,36.48,21.49
ENSMLUG00000017269,17.27,10,7.75,8.58,9.13,10.21,0,3.68
ENSMLUG00000012065,0,20.14,0,0,0,0,0,0
ENSMLUG00000015731,0,0,0,4.86,0,0,0,7.89
ENSMLUG00000017354,18.43,13.66,22.82,13.77,12.15,26.52,16.83,0
ENSMLUG00000008724,33.8,8.64,23.46,15,17.79,21.97,45.96,6.63
ENSMLUG00000007681,14.82,7.42,17.76,8.47,17.96,36.99,14.18,20.57
ENSMLUG00000009783,80.87,52.79,54.26,33.12,50.08,73.46,41.99,31.49
ENSMLUG00000000328,0,0,0,0,0,0,0,13.41
ENSMLUG00000004808,23.6,12.9,50.57,48.72,1097.49,27.83,71.31,94.38
ENSMLUG00000003514,51.63,67.95,67.67,44.85,54.84,86.49,50.29,17.89
ENSMLUG00000005341,0,0,5.76,3.41,0,10.7,20.47,23.57
ENSMLUG00000008175,20.98,0,12.54,11.8,18.41,111.34,32.69,43.26
ENSMLUG00000013798,37.61,26.42,41.44,39.33,44.43,25.68,28.11,30.22
ENSMLUG00000013787,0,0,13.68,7.43,7.2,0,0,0
ENSMLUG00000000605,15.19,26.79,26.61,20.39,13.12,18.7,6.22,6.74
ENSMLUG00000015615,0,0,0,6.64,16.26,0,13.29,0
ENSMLUG00000000818,0,0,6.72,7.37,0,0,0,2.95
ENSMLUG00000001067,0,0,5.01,0,40.83,0,0,38.35
ENSMLUG00000003125,62.08,123.69,101.54,70.03,143.76,65.41,80.35,87.26
ENSMLUG00000007994,8.26,12.14,8.47,34.65,8.81,9.69,8.21,5.83
