ensgene,Hipposideros armiger,Rhinolophus affinis,Myotis laniger,Miniopterus fuliginosus,Taphozous melanopogon,Cynopterus sphinx,Rousettus leschenaultia,Eonycteris spelaea
ENSMLUG00000014540,25.64,0,4.59,3.52,0,0,4.19,5.5
ENSMLUG00000014248,61.18,28.48,50.86,50.3,47.97,58.04,58.12,55.48
ENSMLUG00000006130,15.81,18.19,21.74,11.84,26.13,23.66,33.95,23.13
ENSMLUG00000016552,13.01,6.53,7.61,4.95,11.21,12.51,10.02,21.74
ENSMLUG00000002409,2.97,0,4.35,0,0,0,0,0
ENSMLUG00000007459,13.64,0,0,0,0,0,0,0
ENSMLUG00000003075,23.61,0,0,0,0,9.04,2.18,4.14
ENSMLUG00000002584,0,0,0,3.48,0,0,0,9.82
ENSMLUG00000009344,0,0,0,0,0,9.78,4.83,0
ENSMLUG00000000426,32.83,23.67,13.47,13.72,43.61,25.6,15.56,24.52
ENSMLUG00000003235,13.19,13.14,9.61,10.35,25.93,52.1,13.03,10.13
ENSMLUG00000024692,19.74,10.93,15.42,10.81,17.9,18.21,17.22,8.76
ENSMLUG00000016524,31.6,33.48,26.2,28.5,40.45,39.71,34.46,26.61
ENSMLUG00000005845,66.7,60.44,112.9,24,69.62,46.37,60.63,0
ENSMLUG00000011434,32.52,10.75,11.15,8.98,18.66,39.15,20.75,11.3
ENSMLUG00000006409,19.53,0,0,7.95,0,0,7.95,0
ENSMLUG00000004321,27.96,44.09,19.51,17.98,18.95,30.22,35.86,37.22
ENSMLUG00000026327,18.33,0,0,0,0,0,0,0
ENSMLUG00000015386,23.26,19.21,21.55,27.82,46.15,0,18.77,15.45
ENSMLUG00000003744,0,0,3.08,4.41,6.04,8.07,0,0
ENSMLUG00000007314,30.93,35.64,27.1,20.85,33.31,55.29,56.74,34.86
ENSMLUG00000009005,0,16.6,0,7.89,38.96,35.79,0,13.15
ENSMLUG00000014066,50.44,48.04,44.09,29.01,55.8,25.85,42.69,36.27
ENSMLUG00000013424,16.63,6.53,11.92,8.67,18.25,35.58,13.87,19.64
ENSMLUG00000010954,123.64,19.88,50.74,23,0,0,85.9,91.92
ENSMLUG00000007109,46.79,30.46,26.5,0,24.64,59.57,58.18,50.25
ENSMLUG00000009181,27.83,22.82,21.62,29.7,52.72,41.94,23.62,19.74
ENSMLUG00000006841,0,12.17,0,0,0,0,0,0
ENSMLUG00000008828,38.03,34.98,28.63,12.86,25.65,23.45,35.54,19.78
ENSMLUG00000007902,8.36,4.66,0,0,0,0,0,0
ENSMLUG00000000357,39.73,47.79,19.17,18.84,24.55,32.43,40.7,38.32
ENSMLUG00000000759,45.98,34.41,94.39,135.93,39.52,46.91,56.85,71.84
ENSMLUG00000010929,63.77,51.47,61.46,48.2,50.88,0,53.29,51.14
ENSMLUG00000007721,0,8.81,14.18,14.15,16.67,8.14,10.56,20.87
ENSMLUG00000003439,33.27,44.45,111.67,76.18,48.31,90.11,53.16,60.21
ENSMLUG00000002393,26.28,23.22,5.62,6.07,15.38,59.5,23.93,23.15
ENSMLUG00000004001,145.43,163.94,45.69,27.42,73.5,115.88,58.45,49.93
ENSMLUG00000012354,15.86,11.53,0,6.65,0,0,0,19.21
ENSMLUG00000007375,19.97,6.31,5.31,9.25,10.38,14.59,10.73,6.79
ENSMLUG00000004843,0,0,0,5.81,0,0,0,0
ENSMLUG00000015876,8.98,10.62,9.16,13.42,43.06,31.72,16.83,27.66
ENSMLUG00000006439,37.88,12.84,12.76,20.66,17.12,30,21.05,30.99
ENSMLUG00000004465,0,0,0,0,5.77,13.93,4.24,0
ENSMLUG00000006209,35.01,25.98,22.7,16.36,66.32,42.87,29.91,34.08
ENSMLUG00000005515,20.29,21.48,9.5,7.21,15.22,33.47,9.32,12.02
ENSMLUG00000015075,22.87,0,14.6,13.39,0,18.37,13.35,26.71
ENSMLUG00000008941,161.62,120.34,101.38,41.5,103.35,49.91,95.87,69.36
ENSMLUG00000008098,5.12,0,10.3,8.82,0,0,0,8.95
ENSMLUG00000001015,0,6.87,0,0,0,0,10.58,0
ENSMLUG00000015463,0,0,2.36,0,13.82,15.04,0,0
ENSMLUG00000005725,9.1,6.48,8.17,8.31,10.05,0,0,4.47
ENSMLUG00000015868,16.86,24.86,22.03,14.48,26.1,40.34,47.45,17.82
ENSMLUG00000030628,34.4,39.7,29.52,21.2,31.02,16.34,24.77,13.65
ENSMLUG00000001510,0,0,1.26,4.73,0,0,0,0
ENSMLUG00000004751,109.95,68.01,0,0,145.03,34.53,96.05,37.16
ENSMLUG00000026860,12.69,18.72,4.5,6.42,13.85,10.19,17.21,5.02
ENSMLUG00000016286,0,0,0,0,0,9.71,14.23,66.21
ENSMLUG00000016129,0,0,4.91,2.69,0,0,0,0
ENSMLUG00000014772,9.91,11.94,27.62,20.5,31.39,37.25,17.95,20.11
ENSMLUG00000008124,12.58,14.06,16.05,8.32,17.91,14.76,9.22,14.32
ENSMLUG00000010419,9.68,0,6.37,5.91,14.59,14.79,0,10.36
ENSMLUG00000008078,12.18,4.08,9.57,6.1,20.51,0,0,35.77
ENSMLUG00000005930,0,0,0,21.47,0,0,0,0
ENSMLUG00000001459,0,0,0,0,0,160.46,64.95,32.25
ENSMLUG00000029523,0,0,0,0,0,16.59,0,0
ENSMLUG00000002523,54.14,35.13,69.65,75.96,54.48,60.14,63.11,55.09
ENSMLUG00000004554,14.73,33.64,73.27,53.42,20.96,23.45,15.55,16.66
ENSMLUG00000006725,55.63,54.16,21.68,31.57,73.27,53.09,57.26,39.79
ENSMLUG00000006315,42.93,36.78,45.97,45.47,64.33,0,0,0
ENSMLUG00000012226,102.08,117.99,263.95,118.15,111.17,68.59,160.18,142.17
ENSMLUG00000007889,28,23.12,22.02,17.67,34.83,37.01,37.95,14.79
ENSMLUG00000029343,0,0,0,12.49,0,0,0,0
ENSMLUG00000002473,29.6,15.86,44.31,44.83,51.83,26.42,47.96,24.63
ENSMLUG00000005954,32.76,51.75,26.09,59.79,44.69,41.47,30.83,148.97
ENSMLUG00000003589,0,0,0,0,87.03,0,36.76,39.19
ENSMLUG00000006412,15.99,8.18,57.3,28.77,59.44,28.67,22.5,19.46
ENSMLUG00000003093,85.04,60.38,74.18,43.85,109.32,83.63,25.55,22.81
ENSMLUG00000023942,0,0,7.36,0,0,0,0,0
ENSMLUG00000017297,48.54,60.24,50.21,28.2,39.31,75.19,44.06,33.67
ENSMLUG00000004601,52.97,14.13,10.4,6.82,36.25,30.23,20.41,13.95
ENSMLUG00000011528,41.73,47.21,63.45,52.3,60.34,59.46,46.02,48.17
ENSMLUG00000015685,9.17,5.22,12.22,8.76,7.37,48.7,0,16.43
ENSMLUG00000010991,24.15,556.95,27.64,18.56,71.02,27.39,19.15,17.61
ENSMLUG00000007933,3.76,0,8.57,0,14.92,11.53,0,0
ENSMLUG00000013147,2.07,0,0,0,0,0,0,0
ENSMLUG00000029712,4.73,8.4,10.41,6.22,8.96,8.03,5.07,0
ENSMLUG00000008138,19.69,24.03,50.15,26.66,20.42,13.21,12.23,7.24
ENSMLUG00000017512,21.81,37.43,20.21,13.45,56.78,55.06,69.89,50.76
ENSMLUG00000004705,0,0,0,0,0,0,35.82,0
ENSMLUG00000008293,10.68,32.69,10.09,5.34,17.26,21.71,48.6,35.94
ENSMLUG00000014831,0,0,11.1,3.63,27.59,14.64,0,11.98
ENSMLUG00000012903,458.74,338.03,189.46,94.69,229,142.63,233.12,182.43
ENSMLUG00000009905,0,0,3.52,0,6.08,9.05,0,0
ENSMLUG00000010098,0,0,14.08,0,0,0,8.22,0
ENSMLUG00000014787,7,0,4.17,4.38,0,6.54,12.84,14.92
ENSMLUG00000027268,24.2,2.16,8.74,9.25,10.22,8.19,12.24,5.88
ENSMLUG00000001617,0,25.5,24.57,19.98,60.07,53.22,42.43,36.41
ENSMLUG00000001010,29.76,49.67,46.56,31.58,20.02,44.76,44.72,27.25
ENSMLUG00000011331,0,0,5.05,0,4.98,3.4,2.24,3.9
ENSMLUG00000001501,21.61,23.6,20.98,21.48,48.67,20.19,43.21,25.32
ENSMLUG00000013287,0,0,4.02,0,3.69,1.97,0,0
ENSMLUG00000014549,19.91,10.59,7.56,5.39,9.96,8.83,11.46,9.24
ENSMLUG00000008645,19.22,8.47,9.48,7.7,16,10,15.28,15.95
ENSMLUG00000015975,170,115.07,0,0,55.09,51.8,60.83,0
ENSMLUG00000002202,15,42.26,26.48,46.71,51.5,47.44,18.14,32.52
ENSMLUG00000011312,12.31,0,8.36,7.26,14.37,13.06,12.5,13.77
ENSMLUG00000015321,26.24,0,14.25,0,0,0,0,10.49
ENSMLUG00000001354,52.48,28.68,26.78,32.64,48.5,44.65,38.32,28.19
ENSMLUG00000008358,0,0,10.74,0,0,0,3.76,7.14
ENSMLUG00000015443,30.57,11.62,8.44,0,0,0,22.26,24.38
ENSMLUG00000015196,0,7.03,0,0,0,0,0,95.97
ENSMLUG00000029379,0,26.69,16.53,12.06,25.7,0,8.98,10.42
ENSMLUG00000000152,0,0,0,5.26,0,0,0,3.02
ENSMLUG00000000620,54.18,13.28,23.59,10.2,37.8,39.42,10.02,10.98
ENSMLUG00000002434,28.42,41.43,31.02,17.58,38.14,30.58,22.59,31.41
ENSMLUG00000013666,36.04,8.81,15.3,11.7,32.54,18.56,0,15.26
ENSMLUG00000010312,66.94,35.88,60.09,31.17,55.08,49.21,40.64,24.68
ENSMLUG00000006748,4.36,4.83,8.06,3.49,48.89,33.79,26.86,5.35
ENSMLUG00000008702,16.22,14.29,0,8.63,21.97,23.31,21.46,13.26
ENSMLUG00000002333,0,0,0,0,0,0,0,6.38
ENSMLUG00000006848,22.75,9.84,15.11,13,65.3,38.65,14.49,11.87
ENSMLUG00000000287,0,0,0,3.25,0,0,3.39,0
ENSMLUG00000003278,0,0,12.73,6.92,0,0,0,0
ENSMLUG00000028391,0,0,0,0,37.04,0,0,0
ENSMLUG00000013825,26.54,28.25,27.02,15.34,25.3,55.03,29.26,34.5
ENSMLUG00000016381,60.73,33.84,45.87,44.34,47.78,44.01,63.5,44.23
ENSMLUG00000002701,69.81,14.58,24.67,20.4,96.63,0,0,0
ENSMLUG00000003552,12.89,14.1,3.07,3.16,27.22,41.3,16.31,15.83
ENSMLUG00000015245,20.44,22.56,9.23,7.56,18.89,25.77,6.98,13.36
ENSMLUG00000006181,37.38,10.71,12.5,12.21,25.83,23.35,30.02,23.1
ENSMLUG00000006926,5.53,0,7.48,3.93,5.96,6.83,0,6.64
ENSMLUG00000001135,3.17,0,0,0,0,0,8.09,5.44
ENSMLUG00000003142,10.92,23.12,16.62,28.56,11.41,21.26,10.66,5.83
ENSMLUG00000014850,46.9,9.1,12.79,7.75,12.73,0,32.21,55.57
ENSMLUG00000008438,0,0,8.94,11.14,23.73,13.4,14.08,16.67
ENSMLUG00000003600,30.26,13.64,38.7,23.64,31.08,33.52,43.64,19.45
ENSMLUG00000001955,29.61,35.63,65.8,36.89,49.68,30.3,41.09,24.46
ENSMLUG00000026760,0,0,10.16,0,0,0,0,4.42
ENSMLUG00000024066,0,232.4,0,0,0,0,0,0
ENSMLUG00000007526,20.74,20.03,9.64,11.19,11.71,4.56,8.95,7.07
ENSMLUG00000014562,0,12.4,14.9,12.92,0,15.74,30.58,27.46
ENSMLUG00000002683,41.83,28.89,52.34,53.48,81.19,56.25,37.52,31.28
ENSMLUG00000007242,91.31,64.09,72.79,51.58,42.88,57.88,42.63,38.48
ENSMLUG00000016349,7.14,8.78,8.29,7.48,16.13,4.96,11.86,11.54
ENSMLUG00000012984,34.74,17.34,28.49,13.59,145.41,34.36,21.26,15.39
ENSMLUG00000017659,0,7.18,12.95,6.07,26.38,12.82,0,0
ENSMLUG00000008472,0,0,7.06,7.25,0,0,0,10.2
ENSMLUG00000000343,0,0,6.93,12.61,0,0,0,4.86
ENSMLUG00000017286,0,5.32,5.45,13.51,7.54,7.45,4.75,5.45
ENSMLUG00000005135,0,0,9.38,0,0,0,0,0
ENSMLUG00000004687,39.73,17.32,23.65,11.76,29.7,0,18.26,11.48
ENSMLUG00000011302,23.78,15.66,9.84,12.25,18.39,25.47,20.88,24.27
ENSMLUG00000000705,0,10.34,6.29,5.94,0,19.87,15.5,0
ENSMLUG00000013433,169.34,154.25,190.33,171.5,143.03,135.96,158.5,114.97
ENSMLUG00000016604,0,0,0,0,0,0,0,0
ENSMLUG00000011030,6.3,0,11.9,4.04,36.11,12.36,10.92,14.87
ENSMLUG00000007947,31.02,46.94,24.26,22.04,51.79,21.3,27.51,17.5
ENSMLUG00000013377,16.56,0,0,0,30.98,30.33,60.43,28.45
ENSMLUG00000016113,6.97,3.55,6.67,10.02,24.54,32.82,13.69,8.49
ENSMLUG00000012096,73.03,26.36,0,29.95,133.88,18.1,101.43,39.62
ENSMLUG00000016494,0,0,0,0,0,7.71,0,0
ENSMLUG00000000453,0,0,12.36,6.61,16.09,0,5.91,0
ENSMLUG00000005671,32.06,12.15,12.07,15.43,21.21,28.41,25.07,19.91
ENSMLUG00000000218,0,10.6,0,3.39,0,0,0,4.2
ENSMLUG00000005851,33.44,8.79,25.26,31.15,12.43,47.97,16.16,25.78
ENSMLUG00000025634,29.18,23.2,37.45,23.11,37.93,31.22,31.15,23.8
ENSMLUG00000027777,8.06,7.78,128.3,64.82,52.55,54.52,78.93,34.42
ENSMLUG00000010370,7.53,13.55,13.05,6.05,0,14.78,6.04,7.32
ENSMLUG00000002285,0,11.56,9.79,47.32,0,0,0,42.59
ENSMLUG00000004987,183.55,169.99,117.54,84.72,125.62,49.92,163.45,63.45
ENSMLUG00000023559,7.2,7.22,6.19,5.59,10.83,13.25,6.18,7.78
ENSMLUG00000028195,32.02,45.57,11.56,11.14,44.49,43.31,50.41,49.7
ENSMLUG00000014154,0,18.1,0,7.07,21.32,16.47,15.08,0
ENSMLUG00000009878,30.33,13.8,22.43,19.15,15.67,40.41,0,29
ENSMLUG00000025819,190.48,0,0,0,0,0,0,0
ENSMLUG00000029085,0,3.23,0,0,0,4.22,0,0
ENSMLUG00000006195,6.96,0,4.17,2.35,0,0,0,0
ENSMLUG00000009604,51.5,177.38,146.13,100.81,87.2,75.97,133.16,50.45
ENSMLUG00000017177,19.11,6.59,3.23,4.74,18.96,0,0,9.74
ENSMLUG00000007632,27.85,14.61,18.14,12.46,32.64,22.9,33.59,22.05
ENSMLUG00000010466,0,0,0,0,0,10.96,6.19,14.77
ENSMLUG00000028917,24.73,5.93,21.23,13.51,25.46,18.43,19.72,12.27
ENSMLUG00000007350,0,6.86,97.09,128.28,0,0,0,0
ENSMLUG00000013977,97.03,83.89,44.93,24.65,93.06,127.58,73.4,45.42
ENSMLUG00000016608,64.37,21.38,23.92,21.54,36.07,22.14,25.84,17.07
ENSMLUG00000011612,9.73,7.78,10.47,9.61,16.34,0,8.52,8.16
ENSMLUG00000006558,43.74,9,0,0,0,0,0,0
ENSMLUG00000026397,0,0,0,0,3.66,0,10.06,5.1
ENSMLUG00000023274,55.64,65.99,67.01,64.29,37.05,243.2,238.73,189.05
ENSMLUG00000014704,20,87.91,19.28,12.02,15.05,21.69,22.63,40.68
ENSMLUG00000014468,41.11,28.54,39.37,51.95,37.1,41.67,34.29,27.87
ENSMLUG00000014716,4.29,9.12,5.1,2.78,14.45,3.97,6.08,0
ENSMLUG00000000407,7.96,11.53,6.98,7.33,19.7,14.13,14.47,7.68
ENSMLUG00000009315,31.86,14.67,27.15,7.96,24.41,20.75,43.95,14.11
ENSMLUG00000015421,163.44,145.46,133.14,86.1,201.81,173.14,214.52,110.78
ENSMLUG00000001866,0,0,15.14,0,0,0,0,0
ENSMLUG00000011361,27.46,0,0,0,9.31,22.35,35.4,23.38
ENSMLUG00000000189,92.83,44.29,94.19,108.06,98.76,64.8,41.12,38.2
ENSMLUG00000014055,33.61,25.54,24.29,34.38,24.21,76.87,20,16.96
ENSMLUG00000006407,0,51.16,105.56,142.56,94.49,52.86,35.11,31.18
ENSMLUG00000003500,29.05,10.25,15,9.87,52.28,23.42,42.38,9.4
ENSMLUG00000011990,29.64,9.9,20.09,28.6,63.17,37.91,28.54,31.8
ENSMLUG00000008106,0,0,2.12,3.43,0,0,0,0
ENSMLUG00000030420,19.62,16.88,15.15,13.59,39.62,39.44,17.9,0
ENSMLUG00000003418,312.81,309.71,187.21,246.32,294.1,158.96,214.24,122.19
ENSMLUG00000016599,29.16,37.58,30.71,13.51,46.66,54.35,42.51,49.09
ENSMLUG00000005875,97.13,69.4,68.67,33.72,85.93,180.87,114.33,204.14
ENSMLUG00000002366,6.63,7.86,5.17,5.92,21.56,13.42,14.87,5.35
ENSMLUG00000006443,0,0,18.54,19.82,0,0,14,0
ENSMLUG00000000975,3.48,0,8.22,5.85,0,0,0,0
ENSMLUG00000016279,40.99,0,125.02,118.59,0,0,0,0
ENSMLUG00000024487,0,0,8.59,7.67,0,0,0,0
ENSMLUG00000007537,0,0,0,3.74,0,0,0,12.06
ENSMLUG00000005566,0,0,0,2.44,0,0,0,2.78
ENSMLUG00000011901,89.29,105.23,100.52,108.17,84.2,75.1,79.32,70.36
ENSMLUG00000006788,0,0,0,0,69.31,51.1,34.82,0
ENSMLUG00000006950,3.09,14.93,23.71,12.26,15.06,31.5,19.48,11.67
ENSMLUG00000008659,0,0,5.24,0,0,9.59,0,0
ENSMLUG00000009093,39.84,8.16,6.02,7.45,23.33,53.79,13.19,6.67
ENSMLUG00000009141,6.17,5.37,9.7,14.54,11.61,22.31,8.32,4.82
ENSMLUG00000002364,0,0,0,50.98,25.25,43.53,0,0
ENSMLUG00000008725,10.98,7.67,3.18,5.36,38.45,35.79,17.17,39.1
ENSMLUG00000012281,0,0,23.73,18.64,60.41,30.29,27.42,0
ENSMLUG00000013046,145.03,136.35,115.7,47.84,257.47,418.47,209.48,150.3
ENSMLUG00000009253,40.86,44.05,131.15,29.22,99,38.65,72.86,45.64
ENSMLUG00000012103,0,10.34,6.23,4.98,0,0,0,0
ENSMLUG00000011083,0,0,12.64,0,0,0,0,0
ENSMLUG00000000775,11.93,0,10.16,4.91,0,0,12.44,0
ENSMLUG00000015181,73.22,28.83,17.97,29.66,33.3,95.86,88.99,49
ENSMLUG00000000728,15.96,7.43,16.78,18.2,13.84,12.18,26.43,17.86
ENSMLUG00000012917,28.1,18.29,34.47,34.33,17.08,19.05,13.58,7.81
ENSMLUG00000007612,72.04,44.05,35.39,41.48,92.43,84.25,51.61,33.25
ENSMLUG00000024027,31.64,9.45,11.08,10.31,22.59,22.43,14.81,17.34
ENSMLUG00000001377,47.32,26.3,60.51,28.01,27.22,14.27,27.86,10.72
ENSMLUG00000000525,41.82,41.75,83.52,65.8,76.42,44.79,47.06,43.37
ENSMLUG00000005789,2.04,8.49,2.56,5.53,7.94,12.89,2.75,3.26
ENSMLUG00000011063,2.48,5.03,10.27,3.82,0,0,13.46,6.48
ENSMLUG00000003815,0,13.15,20.02,20.81,23.28,43.08,43.52,16.09
ENSMLUG00000005340,11.31,0,12.49,3.1,0,7.33,5.9,10.24
ENSMLUG00000011684,64.12,50.4,44.78,38.25,33.49,10.84,33.73,18.01
ENSMLUG00000026813,37.77,45.73,44.65,58.27,25.74,20.06,38.11,41.32
ENSMLUG00000004582,16.91,0,4.66,9.4,19.52,0,0,0
ENSMLUG00000006335,86.64,46.24,87.04,39.94,78.34,35.36,60.82,32.46
ENSMLUG00000025131,7.66,10.31,8.69,8.72,12.49,11,6.27,7.25
ENSMLUG00000013171,18.83,0,2.76,2.92,23.46,0,0,10.83
ENSMLUG00000015905,25.49,38.29,40.38,24.83,44.06,0,0,0
ENSMLUG00000010446,20.94,10.94,26.94,28.51,14.68,21.88,17.06,21.92
ENSMLUG00000006621,201.7,121.13,143.87,112.89,183.03,105.33,287.2,217.73
ENSMLUG00000007213,0,11.57,0,0,0,17.68,7.36,13.02
ENSMLUG00000005770,21.11,22.26,16.56,12.35,39.34,31.31,22.51,31.86
ENSMLUG00000011161,13.68,0,0,0,0,0,0,0
ENSMLUG00000010481,14.61,8.59,14.66,10.61,19.61,20.76,0,9.66
ENSMLUG00000005470,1.82,0,1.05,1.73,0,3.61,4.95,0
ENSMLUG00000009298,31.1,17.76,33.9,34.75,35.54,42.99,26.9,23.69
ENSMLUG00000013649,12,18.52,23.42,20.79,23.79,15.65,14.25,11.45
ENSMLUG00000015647,148.38,168.12,118.01,139.52,76.1,92.7,174.51,102.27
ENSMLUG00000012555,361.44,256.63,742.74,694.47,605.25,486.13,654.48,483.94
ENSMLUG00000012440,29.56,4.32,7.36,9.89,0,5.1,0,4.45
ENSMLUG00000003180,43.29,98.69,51.08,47.67,73.12,33.06,57.6,12.37
ENSMLUG00000013756,15.73,0,0,0,90.31,0,17.07,19.57
ENSMLUG00000006847,0,35.67,49.43,27.81,80.37,49.2,70.6,65.81
ENSMLUG00000027258,12.16,7.9,34.6,29.77,21.45,0,12.3,6.31
ENSMLUG00000027862,35.77,75.57,55.51,23.39,28.52,31.81,31.62,26.24
ENSMLUG00000000318,0,3.2,7.32,3.82,5.54,30.69,6.31,5.35
ENSMLUG00000004041,0,0,7.14,0,47.35,0,18.07,48.02
ENSMLUG00000010638,17.7,13.13,17.91,18.54,26.08,10.28,14.19,13.69
ENSMLUG00000016462,5.23,0,0,0,0,0,0,0
ENSMLUG00000015520,70.91,60.1,78.78,54.19,53.16,65.93,179.16,91.44
ENSMLUG00000012803,28.88,15.53,13.94,9.54,25.98,25.16,13.82,18.09
ENSMLUG00000013642,344.17,656.67,410.9,355.28,306.65,297.61,0,244.65
ENSMLUG00000015899,26.81,9.82,10.95,0,0,18.11,20.98,15.6
ENSMLUG00000012270,0,0,0,2.24,0,0,0,0
ENSMLUG00000016076,61.27,27.73,20.56,12.12,33.33,27.19,32.6,30.34
ENSMLUG00000012997,11.21,14.46,17.62,9.74,13.81,13.41,17.09,4.64
ENSMLUG00000011138,12.87,17.71,0,12.45,18.68,13.01,0,9.3
ENSMLUG00000004163,33.24,11.23,11.47,7.91,0,15.01,9.62,10.95
ENSMLUG00000011940,6.98,4.35,4.78,8.36,8.61,4.97,5.12,8.85
ENSMLUG00000000141,40,30.35,46.94,51.85,66.63,49.77,51.4,59.67
ENSMLUG00000023710,0,0,0,0,14.37,0,0,0
ENSMLUG00000003502,245.27,339.87,237.23,127.15,190.39,212.41,269.5,218.51
ENSMLUG00000002078,0,2.3,4.42,6.84,5.28,7.61,3.25,2.79
ENSMLUG00000005025,13.61,6.73,8.5,5.4,17.51,18.23,15.67,3.94
ENSMLUG00000017276,55.38,41.36,50.02,40.65,46.6,33.36,53.23,39.32
ENSMLUG00000004875,25.95,13.96,16.2,9.21,37.3,27.39,17.76,0
ENSMLUG00000006925,7.98,5.82,4.99,6.2,0,26.32,20.34,3.61
ENSMLUG00000012990,0,0,0,2.08,4.93,10.41,0,0
ENSMLUG00000012778,9.39,4.62,5.71,4.89,9.66,11.27,8.58,10.74
ENSMLUG00000008922,17.36,0,3.87,4.02,0,28.23,12.41,15.53
ENSMLUG00000002795,17.14,5.34,4.33,4.65,22.83,7.13,7.65,17.94
ENSMLUG00000011077,25.45,20.97,17.15,18.15,28.33,21.25,20.34,23.35
ENSMLUG00000022594,37.6,8.42,24.73,17.98,13.25,148.95,105.12,35.61
ENSMLUG00000013062,0,10.82,12.52,10.78,20.81,14.69,22.49,7.35
ENSMLUG00000013809,0,0,533.48,0,0,0,0,0
ENSMLUG00000012937,37.61,25.25,35.8,42.11,52.56,37.21,35.88,27.52
ENSMLUG00000024293,22.7,13.45,14.9,14.04,32.37,24.82,38.89,12.81
ENSMLUG00000002068,14.73,0,8.57,15.65,82.55,18.71,22.8,22.55
ENSMLUG00000002760,22.83,18.36,25.57,17.09,16.41,394.9,0,7.28
ENSMLUG00000005089,12.53,3.42,5.25,5.35,0,12.86,0,8.14
ENSMLUG00000005327,0,0,6.72,9.54,0,0,0,7.53
ENSMLUG00000016364,10.46,13.79,40.28,52.73,18.88,54.33,42.85,38.07
ENSMLUG00000009857,0,2.38,5.06,6.34,14.3,5.4,0,2.2
ENSMLUG00000008851,0,0,7.16,3.07,0,0,0,29.21
ENSMLUG00000015756,0,25.64,48.24,54.89,0,84.27,22.43,34.11
ENSMLUG00000001633,0,0,2.12,3.27,9.83,0,0,0
ENSMLUG00000028959,61.35,142.37,82.85,22.64,97.48,124.14,154.35,0
ENSMLUG00000006013,84.36,71.07,61.24,28.29,100.05,32.63,51.46,26.09
ENSMLUG00000004564,0,0,0,0,0,3.19,0,0
ENSMLUG00000005120,4.11,10.55,13.55,16.28,23.8,0,0,13.52
ENSMLUG00000026541,6.98,0,5.74,3.67,19.88,12.79,0,0
ENSMLUG00000002323,21.16,18.69,18.77,11.39,12.15,18.58,26.09,38.98
ENSMLUG00000015099,20.33,11.45,8.76,9.27,61.67,19.63,17.14,14.45
ENSMLUG00000007367,23.08,22.18,7.48,7.67,25.19,18.83,22.89,26.2
ENSMLUG00000022492,0,14.6,4.18,4.65,7.27,21.56,0,7.56
ENSMLUG00000003953,0,0,0,7.44,0,0,0,0
ENSMLUG00000005678,91.55,27.66,34.74,19.14,29.5,29.93,78.59,21.44
ENSMLUG00000022876,0,15.16,10.57,5.72,0,0,0,0
ENSMLUG00000009607,0,3.63,2.31,3.37,0,0,2.78,4.07
ENSMLUG00000004391,79.76,90.3,80.69,78.87,89.75,127.18,82.82,64.31
ENSMLUG00000014630,87.63,50.95,68.06,39.44,454.42,0,40.72,46.02
ENSMLUG00000009304,270.06,295.61,395.15,317.58,276.66,222.53,321.42,189.3
ENSMLUG00000003189,28.54,48.57,42.16,52.55,73.27,25.9,27.13,35.37
ENSMLUG00000001102,0,13.99,17.34,11.63,25.52,25.04,57.56,39.29
ENSMLUG00000000111,44.58,49.66,50.58,49.66,107.8,79.96,127.17,79.7
ENSMLUG00000008395,0,0,0,3.51,23.19,13.56,0,0
ENSMLUG00000011171,0,21.08,4.07,0,0,0,0,0
ENSMLUG00000008963,4.36,4.36,8.82,9.84,10.36,4.69,0,1.25
ENSMLUG00000016107,26.15,24.95,70.87,28.31,27.69,30.3,12.03,23.81
ENSMLUG00000014370,30.92,14.24,11.74,5.58,28.8,33.57,0,9.35
ENSMLUG00000001164,9.63,38.8,13.04,3.15,0,5.72,12.24,3.43
ENSMLUG00000022740,30.56,20.19,43.13,27.29,35.54,35.8,26.75,23.49
ENSMLUG00000014150,16.51,6.65,10.49,10.17,4.88,21.29,15.35,16.93
ENSMLUG00000004470,28.32,25.64,18.09,7.92,14.1,20.04,25.02,41.86
ENSMLUG00000026014,4.97,11.83,10.08,3.61,20.77,12.01,8.86,5.91
ENSMLUG00000028785,0,0,0,6.84,0,0,0,0
ENSMLUG00000016733,32.95,13.6,11.42,9.5,29.75,31.01,12.71,9.15
ENSMLUG00000010037,14.56,17.48,12.24,8.49,13.35,11.16,18.78,4.59
ENSMLUG00000008367,7.12,5.46,4.91,3.38,21.34,14.1,0,6.28
ENSMLUG00000002607,28.86,0,7.39,0,0,0,0,0
ENSMLUG00000005420,20.29,14.11,10.04,14.15,11.52,25.09,36.07,29.09
ENSMLUG00000006139,3.01,6.35,12.75,12.61,0,11.16,6.25,5.7
ENSMLUG00000008560,0,116.74,85.3,0,0,73.78,107.41,100.3
ENSMLUG00000029338,0.54,32.68,0,0,29.32,0,0,0
ENSMLUG00000023750,0,0,7.02,5.69,7.92,0,8.01,8.57
ENSMLUG00000003150,32.48,39.33,17.54,28.94,32.94,28.67,25.11,43.54
ENSMLUG00000012213,2.3,0,0,0,0,0,0,0
ENSMLUG00000015449,0,0,8.5,6.66,0,0,0,0
ENSMLUG00000010573,89.44,60.18,102.12,74.21,204.6,120.84,129.15,99.61
ENSMLUG00000001700,16.69,25.56,18.73,13.86,44.62,27.88,44.92,26.15
